"text","id.x","id.y"
"allen and unwin",116,114
"allen lane",117,NA
"allison and busby",118,115
"allyn and bacon",119,116
"alpha books",120,117
"alpha science international ltd",121,118
"altamira press",122,119
"alyson publications inc",123,120
"alyson wonderland",124,121
"amacom",125,122
"amazon children's pub",126,123
"amazon publishing",127,124
"amazoncrossing",128,125
"amber books",129,126
"ameco pub corp",130,127
"amereon house",131,128
"american academy of pediatrics",132,129
"american association of blood banks",133,130
"american association of university professors",134,131
"american bar association",135,132
"american bar association section of dispute resolution",136,133
"american chemical society",137,134
"american college of obstetricians and gynecologists women's health care physicians",138,135
"american college of physicians",139,136
"american concrete institute",140,137
"american cooking guild",141,138
"american enterprise institute for public policy research",142,139
"american geophysical union",143,140
"american girl",144,141
"american institute of aeronautics and astronautics",145,142
"american institute of physics",146,143
"american legacy",147,144
"american library association",148,145
"american marketing association",149,146
"american mathematical society",150,147
"american medical association",151,148
"american national red cross",152,149
"american planning association",153,150
"american planning association planners press",154,151
"american political science association c 2018",155,152
"american psychological association",156,153
"american red cross",157,154
"american school of needlework",158,155
"american society for engineering management",159,156
"american society of civil engineers",160,157
"american society of plumbing engineers",161,158
"american sunday school union",162,159
"american trust publications",163,160
"american university",164,161
"american university in cairo press",165,162
"american water works association",166,163
"amherst media",167,164
"amicus amicus ink",168,165
"amicus high interest",169,166
"amicus illustrated",170,167
"amicus ink",171,168
"amika press",172,169
"amilus",173,170
"aminso",174,171
"ampersand",175,172
"amphoto",176,173
"amplify",177,174
"ams chelsea pub",178,175
"amsco",179,176
"amsterdam university press",180,177
"amulet books",181,178
"amy linnabary",182,179
"anaheim pub co",183,180
"anchor books",184,181
"anchor press doubleday",185,182
"and c black",186,183
"andersen press",187,184
"andersen press ltd",188,185
"andrew mcmeel publishing",189,186
"andrews mcmeel publishing",190,187
"andrews mcmeel publishing llc",191,188
"angelic knight press",192,189
"angelico press",193,190
"angry robot",194,191
"angus and robertson",195,192
"angus and robertson publishers",196,193
"ann arbor science publishers",197,194
"ann charles",198,195
"ann m hess",199,196
"annick press",200,197
"annick press ltd",201,198
"anthem press",202,199
"anthroposophic press",203,200
"antique collectors' club",204,201
"aorn",205,202
"aperture",206,203
"applause theatre books",207,204
"apple academic press",208,205
"applied research and design",209,206
"appraisal institute",210,207
"apress",211,208
"april barker",212,209
"arbor house",213,210
"arbordale publishing",214,211
"arc books",215,212
"arcade publishing",216,213
"arcadia",217,214
"arcadia books",218,215
"arcadia publishing",219,216
"archaeopress",220,217
"archaeopress publishing ltd",221,218
"archie comic publications",222,219
"archie comic publications inc",223,220
"architectural association",224,221
"archon books",225,222
"archway paperback",226,223
"arco pub co",227,224
"arcturus",228,225
"arcturus pub",229,226
"ariel press",230,227
"aris and phillips",231,228
"arizona center for medieval and renaissance studies",232,229
"arizona highways",233,230
"arkana",234,231
"arlen house",235,232
"arlington house",236,233
"armadillo",237,234
"arms and armour",238,235
"arno",239,236
"arno and the new york times",240,237
"arno press",241,238
"arnold",242,239
"arrow",243,240
"arrow books",244,241
"art gallery of new south wales",245,242
"arte pu blico press",246,243
"artech house",247,244
"arthur a levine books",248,245
"artifice books on architecture",249,246
"artiqua press",250,247
"artworks",251,248
"ascd",252,249
"ascencia",253,250
"ashgate",254,251
"ashgate pub limited",255,NA
"ashgate pub limited;;ashgate publishing limited",NA,252
"ashgate publishing company",256,253
"ashgate publishing group",257,254
"ashgate publishing limited",258,NA
"ashgate variorum",259,255
"ashgrove press",260,256
"asia society",261,257
"aslan group publishing",262,258
"asm international",263,259
"asm press",264,260
"aspect",265,261
"aspen publishers",266,262
"aspen systems corp",267,263
"asq quality press",268,264
"association",269,265
"association for computing machinery",270,266
"association for educational communications and technology",271,267
"association of american medical colleges",272,268
"association of research libraries",273,269
"astm international",274,270
"astral",275,271
"atallas publishing",276,272
"atd press",277,273
"athena scientific",278,274
"atheneum",279,275
"atheneum books for young readers",280,276
"atlantic books",281,277
"atlantic council",282,278
"atlantic monthly press",283,279
"atria",284,280
"atria 37 ink",285,281
"atria books",286,282
"atria paperback",287,283
"atticus creative",288,284
"auctoris press",289,285
"audiogo",290,286
"audiogo ltd",291,287
"aupha press",292,288
"austin macauley publishers",293,289
"australian institute of health and welfare",294,290
"australian national audit office",295,291
"authentic",296,292
"author",297,293
"authorhouse",298,294
"authors choice press",299,295
"automobile association",300,296
"autonomedia",301,297
"autopress",302,298
"autumn house",303,299
"av by weigl",304,300
"av2 by weigl",305,301
"avalon travel",306,302
"avalon travel a member of the perseus books group",307,303
"ave maria press",308,304
"avery",309,305
"avi",310,306
"avi pub co",311,307
"aviation supplies and academics",312,308
"aviation supplies and academics inc",313,309
"aviva",314,310
"avon",315,311
"avon books",316,312
"aztlan libre press",317,313
"b and h publishing group",318,314
"b blackwell",319,NA
"b blackwell;;basil blackwell",NA,315
"b e a n enterprises llc",320,316
"b renreiter",321,317
"babelcube inc",322,318
"baby professor",323,319
"back bay books little brown",324,320
"back bay books little brown and company",325,321
"backbeat books",326,322
"backpack books",327,323
"baen",328,324
"baen enterprises",329,325
"baillie re tindall",330,326
"bain and co",331,327
"bainbridgebooks",332,328
"baker academic",333,329
"baker book house",334,330
"baker books",335,331
"balboa press",336,332
"ballantine",337,333
"ballantine books",338,334
"ballantine books trade paperbacks",339,335
"ballentine books",340,336
"ballinger publishing",341,337
"balzer bray",342,338
"bandai entertainment",343,339
"banned books",344,340
"banque mondiale",345,341
"bantam",346,342
"bantam books",347,343
"bantam dell",348,344
"bantam doubleday dell books for young readers",349,345
"bantam doubleday dell pub group",350,346
"bantam skylark book",351,347
"bar publishing",352,348
"barbara gaskell denvil",353,349
"barbara karnes books",354,350
"barbour",355,351
"barbour books",356,352
"barbour publishing inc",357,353
"barcharts inc",358,354
"bard",359,355
"barefoot",360,356
"barefoot books",361,357
"barksdale foundation for furtherance of human understanding",362,358
"barncott press",363,359
"barnes and noble",364,360
"barnes and noble books",365,361
"barnes and nobles",366,362
"barrie and jenkins",367,363
"barrington stoke",368,364
"barrington stoke ltd",369,365
"barron's",370,366
"barrons educational series",371,367
"barry mccall",372,368
"basic books",373,369
"basic books a member of the perseus books group",374,370
"basil blackwell",375,NA
"batsford",376,371
"bb bookstore",377,372
"bbc audiobooks",378,373
"bbc books",379,374
"bcs learning and development limited",380,375
"beacon hill press of kansas city",381,376
"beacon press",382,377
"bearport publishing",383,378
"beau coup publishing",384,379
"beaufort books",385,380
"bedford st martin's",386,381
"beeler large print",387,382
"beginner books",388,383
"belknap press of harvard university press",389,384
"belle applications",390,385
"bellwether media",391,386
"belt publishing",392,387
"benchmark education company",393,388
"bent pine publishing",394,389
"beowulf",395,390
"berg",396,391
"berg publishers",397,392
"berghahn",398,393
"berghahn books",399,394
"berkely",400,395
"berkley",401,396
"berkley books",402,397
"berkley caliber",403,398
"berkley medallion book",404,399
"berkley prime crime",405,400
"berkley pub",406,401
"berkley pub co",407,402
"berkley pub corp",408,403
"berkley pub group",409,NA
"berkley pub group;;berkley publishing group",NA,404
"berkley publishing group",410,NA
"berkley sensation",411,405
"berrett koehler publishers inc",412,406
"best business books",413,407
"bestseller publishing house",414,408
"betterlink press",415,409
"betterway home",416,410
"bettis and associates",417,411
"bh newnes",418,412
"biblica",419,413
"bibliomotion inc",420,414
"big and small",421,415
"big nerd ranch",422,416
"big picture press",423,417
"binfords and mort",424,418
"birch brook press",425,419
"birkha user",426,420
"birkha user verlag",427,421
"birlinn",428,422
"birlinn ltd",429,423
"biteback",430,424
"biteback publishing",431,425
"bitter lemon press",432,426
"black accent on l a press",433,427
"black buggy llc",434,428
"black dog and leventhal publishers",435,429
"black dog publishing",436,430
"black irish entertainment llc",437,431
"black lawrence press",438,432
"black library",439,433
"black lizard books",440,434
"black pines press",441,435
"black rose writing",442,436
"black sparrow press",443,437
"black squirrel books",444,438
"black swan",445,439
"blackberry rhubarb press",446,440
"blackie",447,441
"blackwell",448,442
"blackwell pub",449,NA
"blackwell pub co",450,444
"blackwell pub;;blackwell publishing",NA,443
"blackwell publishers",451,445
"blackwell publishing",452,NA
"blackwell science",453,446
"bloomsbury",454,447
"bloomsbury academic",455,448
"bloomsbury academic bloomsbury publishing plc",456,449
"bloomsbury academic publishing plc",457,450
"bloomsbury arden shakespeare",458,451
"bloomsbury bks",459,452
"bloomsbury bloomsbury academic",460,453
"bloomsbury books",461,454
"bloomsbury circus",462,455
"bloomsbury education",463,456
"bloomsbury methuen drama",464,457
"bloomsbury natural history",465,458
"bloomsbury press",466,459
"bloomsbury publishing",467,460
"bloomsbury publishing inc",468,461
"bloomsbury publishing plc",469,462
"bloomsbury reader",470,463
"bloomsbury sigma",471,464
"bloomsbury sport",472,465
"bloomsbury t and t clark",473,NA
"bloomsbury t and t clark;;bloomsbury tandt clark",NA,466
"bloomsbury tandt clark",474,NA
"bloomsbury visual arts",475,467
"bloomsbury visual arts bloomsbury publishing plc",476,468
"bloomsbury wildlife",477,469
"blr business and legal resources",478,470
"blue poppy press",479,471
"blue sky press",480,472
"blue wind press",481,473
"bluebird books for life",482,474
"bluebridge",483,475
"bluejay books",484,476
"bluestreak books",485,477
"bn publishing",486,478
"boardsource",487,479
"bob adams",488,480
"bobbs merrill",489,481
"bodley head",490,482
"bold strokes books",491,483
"bonanza books",492,484
"bonneville books",493,485
"bonnier publishing usa",494,486
"book guild publishing",495,487
"book house",496,488
"book of hope inc",497,489
"book pub network",498,490
"book tree",499,491
"bookheaded learning llc",500,492
"bookhub publishing",501,493
"books and projects",502,494
"books for libraries press",503,495
"bookstand publishing",504,496
"booktrope editions",505,497
"bookwright",506,498
"bookwright press",507,499
"boom box",508,500
"boom studios",509,501
"borealis books",510,502
"borough press",511,503
"bounty books",512,504
"box turtle press",513,505
"boxer books",514,506
"boy scouts of america",515,507
"boydell and brewer",516,508
"boydell and brewer ltd",517,509
"boydell press",518,510
"boyds mills press",519,511
"boyertown area historical society",520,512
"boynton cook publishers",521,513
"bpi worldwide capn a puk havus",522,514
"bpp",523,515
"bradbury press",524,516
"bramley books",525,517
"branches scholastic inc",526,518
"braun center for holocaust studies and martin gilbert",527,519
"brazen",528,520
"brea behn",529,521
"brian james freeman",530,522
"bridge publications",531,523
"bright alliance",532,524
"brighter child",533,525
"brill",534,526
"brill nijhoff",535,527
"brill rodopi",536,528
"brilliance audio",537,529
"bristol classical press",538,530
"bristol park books",539,531
"bristol university press",540,532
"britannica digital learning",541,533
"britannica educational publishing",542,534
"british archaeological reports ltd",543,535
"british association for adoption and fostering",544,536
"british film institute",545,537
"british library",546,538
"british museum",547,539
"british museum press",548,540
"british small animal veterinary association",549,541
"broadstreet publishing",550,542
"broadview press",551,543
"broadway books",552,544
"broadway paperbacks",553,545
"broadway play publishing",554,546
"brookings institution press",555,547
"brooks cole",556,548
"brooks cole cengage learning",557,549
"brooks cole pub co",558,550
"brookside press",559,551
"brown bear books",560,552
"brown books publishing group",561,553
"brown walker press",562,554
"bruce museum",563,555
"brunner routledge",564,556
"brunswick pub co",565,557
"bryson taylor pub",566,558
"buccaneer books",567,559
"bucknell university press",568,560
"bulfinch press",569,561
"burke's peerage",570,562
"burleigh dodds science publishing",571,563
"burmanbooks inc",572,564
"burns and oates",573,565
"burrows",574,566
"business expert press",575,567
"business expert press llc",576,568
"business plus",577,569
"business science reference",578,570
"buttersworth heinemann",579,571
"butterworth heineman",580,572
"butterworth heinemann",581,573
"butterworth scientific",582,574
"butterworth scientific ltd",583,575
"butterworths",584,576
"by amy clipston",585,577
"c and t publishing",586,578
"c e kindler",587,579
"c e tuttle",588,580
"c e tuttle co",589,581
"c h kelly",590,582
"c hurst and co publishers ltd",591,583
"c potter",592,584
"c r beck soli deo gloria presentations",593,585
"c s s pub house",594,586
"c v mosby company",595,587
"c w daniel co ltd",596,588
"cab international",597,589
"cabi",598,590
"cabi pub",599,591
"cadcim technologies",600,592
"caissa's press",601,593
"calouste gulbenkian foundation",602,594
"calvary publishing",603,595
"calyx",604,596
"cambridge scholars publishing",605,597
"cambridge univ press",606,NA
"cambridge univ press;;cambridge university pr;;cambridge university press;;cambridgeuniversity press",NA,598
"cambridge university pr",607,NA
"cambridge university press",608,NA
"cambridgeuniversity press",609,NA
"camden house",610,599
"camel press",611,600
"campus",612,601
"campus verlag",613,602
"candlewick press",614,603
"canfield dragon press",615,604
"canongate",616,605
"cantemos",617,606
"cap publishing",618,607
"capricious",619,608
"capricorn books",620,609
"capstone",621,610
"capstone classroom",622,611
"capstone heinemann library",623,612
"capstone press",624,613
"capture books",625,614
"caracal",626,615
"cardoza pub",627,616
"career institute",628,617
"career press",629,618
"carey and hart",630,619
"carlton",631,620
"carlton books",632,621
"carnegie commision on preventing deadly conflict",633,622
"carnegie endowment for international peace",634,623
"carolina academic press",635,624
"carolrhoda books",636,625
"carolrhoda lab",637,626
"carroll and graf",638,627
"carroll and graf publishers",639,628
"carroll and graf publishers inc",640,629
"carroll and graff",641,630
"carrot quinn",642,631
"carson dellosa publishing llc",643,632
"carswell and co",644,633
"cartech books",645,634
"cartwheel books",646,635
"cartwheel books scholastic inc",647,636
"carysfort press",648,637
"casa de publicaciones wesleyana",649,638
"cascade books",650,639
"casemate",651,640
"casemate books",652,641
"casemate publishers",653,642
"cassell",654,643
"cassell petter and galpin",655,644
"castle books",656,645
"castle street press",657,646
"catechetical institute franciscan university",658,647
"catholic truth society",659,648
"catholic university of america press",660,649
"cathy a corn",661,650
"cathy jackson",662,651
"cavendish pub",663,652
"cavendish square",664,653
"cavendish square publishing",665,654
"cayuga lake books",666,655
"ccg inc",667,656
"ccps",668,657
"cdl press",669,658
"cedar fort inc",670,659
"cengage",671,660
"cengage learning",672,661
"cengage learning ptr",673,662
"cente point publishing",674,663
"center for health design",675,664
"center for middle eastern studies at the university of texas at austin",676,665
"center for strategic and international security",677,666
"center for strategic and international studies",678,667
"center point",679,668
"center point large print",680,669
"center point pub",681,NA
"center point pub;;center point publishing",NA,670
"center point publishing",682,NA
"center street large print",683,671
"central european university press",684,NA
"central european university press;;central europeanuniversity press",NA,672
"central europeanuniversity press",685,NA
"central park media",686,673
"centre for mathematics education open university",687,674
"centre for policy studies",688,675
"century",689,676
"cepa gallery",690,677
"cfi",691,678
"challenge america inc",692,679
"chambers",693,680
"chambers harrap publ",694,681
"chancellor press",695,682
"chandler house press",696,683
"chandos publishing",697,684
"channel view publications",698,685
"chapman and hall",699,686
"chapman and hall crc",700,687
"charco press",701,688
"charlene hartnady",702,689
"charles c thomas publishers ltd",703,690
"charles e tuttle company inc",704,691
"charles river media",705,692
"charles scribner's sons",706,693
"charlesbridge",707,694
"charnwood",708,695
"charter books",709,696
"chartwell books",710,697
"chartwell books inc",711,698
"chatham house",712,699
"chatham river press",713,700
"chatto and windus",714,701
"cheapebookformatting com",715,702
"checkmark books",716,703
"chelsea house",717,704
"chelsea house publishers",718,705
"cherokee county genealogical society",719,706
"cherry lake publishing",720,707
"chicago plays",721,708
"chicago review press",722,709
"chicken soup for the soul llc",723,710
"chicken soup for the soul publishing llc",724,711
"child's play international",725,712
"child's play international ltd",726,713
"child's world",727,714
"children's book press",728,715
"children's braille book club sponsored by national braille press inc",729,716
"children's press",730,717
"childrens press",731,718
"childs world",732,719
"china institute gallery china institute",733,720
"china social sciences press",734,721
"chivers",735,722
"chivers large print",736,723
"chivers press",737,724
"chiyoko pub",738,725
"christian classics",739,726
"christian herald books",740,727
"christian literature crusade",741,728
"christian science board of directors",742,729
"christian tape ministry",743,730
"christine andrews",744,731
"christopher helm",745,732
"chronicle books",746,733
"church of god school of ministry",747,734
"churchill livingstone",748,735
"cicada press",749,736
"cico books",750,737
"cincinnatus press",751,738
"circumspect press",752,739
"cisco press",753,740
"citadel press",754,741
"city lights books",755,742
"clanrye international",756,743
"clarendon",757,744
"clarendon press",758,745
"clarion books",759,746
"clarion books houghton mifflin harcourt",760,747
"clarkson n potter",761,748
"clarkson potter publishers",762,749
"clarkson research services limited",763,750
"class legal",764,751
"classic editions",765,752
"clavis publishing inc",766,753
"clearfield",767,754
"clearfield company",768,755
"cleis press",769,756
"clemson university press",770,757
"clerisy press",771,758
"cleveland museum of art",772,759
"cliff notes",773,760
"cliffs notes",774,761
"clio press",775,762
"clymer publications",776,763
"cn times books inc",777,764
"cognella academic publishing",778,765
"collector books",779,766
"college publications",780,767
"collier books",781,768
"collingridge books",782,769
"collins",783,770
"collins educational",784,771
"collins fontana",785,772
"collins world",786,773
"colorado center for community development university of colorado at denver",787,774
"colour library books",788,775
"colour library books ltd",789,776
"columbia publishing house",790,777
"columbia river book co",791,778
"columbia university",792,779
"columbia university press",793,780
"columbine books",794,781
"combustion institution",795,782
"comicsone",796,783
"commission of the european communities",797,784
"committee for human rights in north korea",798,785
"committee for integrity in science education american scientific affiliation",799,786
"common courage press",800,787
"common ground research networks",801,788
"commonwealth secretariat",802,789
"communication arts books",803,790
"compass books",804,791
"compass point books",805,792
"compass press",806,793
"compass rose publications",807,794
"computational mechanics publications",808,795
"concept systems",809,796
"concordia pub house",810,797
"conference board",811,798
"conflict studies research centre",812,799
"confraternity of saint james",813,800
"connecticut law tribune",814,801
"constable",815,802
"constitution project",816,803
"consultants bureau",817,804
"contemporary books",818,805
"content technologies inc",819,806
"continuum",820,807
"contralor a general de la rep blica",821,808
"cook communication",822,809
"cook pub co",823,810
"cool gus publishing",824,811
"coombe books",825,812
"copper beech books",826,813
"copper canyon press",827,814
"corbett vs dempsey",828,815
"core library",829,816
"corgi",830,817
"corgi books",831,818
"cornell university",832,819
"cornell university press",833,820
"coronado press",834,821
"corruption and crime commission",835,822
"corsair",836,823
"corvus",837,824
"corwin a sage company",838,825
"corwin literacy",839,826
"corwin press",840,827
"council for research in values and philosophy",841,828
"council on foreign relations press",842,829
"counterpoint",843,830
"country life",844,831
"country music foundation press",845,832
"covenant communications inc",846,833
"coward mccann and geoghegan",847,834
"cq press",848,835
"crabtree pub",849,NA
"crabtree pub co",850,NA
"crabtree pub co;;crabtree publishing company",NA,837
"crabtree pub;;crabtree publishing",NA,836
"crabtree publishing",851,NA
"crabtree publishing company",852,NA
"cranford press",853,838
"cranley gallery",854,839
"crc press",855,840
"crc press taylor and francis group",856,841
"cre me de la crime",857,NA
"cre me de la crime;;creme de la crime",NA,842
"create space independent publishing platform",858,NA
"create space independent publishing platform;;createspace independent publishing platform",NA,843
"created for st martin's press by priddy books",859,844
"createspace",860,845
"createspace independent",861,846
"createspace independent publishing",862,847
"createspace independent publishing platform",863,NA
"creative enterprises",864,848
"creative publications",865,849
"creme de la crime",866,NA
"cresent books",867,850
"crestline",868,851
"cricket books",869,852
"crime club collins",870,853
"crimson romance",871,854
"crisp learning",872,855
"critic's choice paperbacks",873,856
"crooked lane",874,857
"crossbooks",875,858
"crossroad",876,859
"crossroad pub co",877,860
"crossway books",878,861
"crowell",879,862
"crown",880,863
"crown archetype",881,864
"crown books for young readers",882,865
"crown house publishing limited",883,866
"crown publishers",884,867
"crown publishing group",885,868
"crowood",886,869
"cuba solidarity campaign",887,870
"cupples and hurd",888,871
"cupples upham",889,872
"curbside splendor publishing inc",890,873
"curran associates inc",891,874
"current medicine",892,875
"curriculum associates",893,876
"curzon press",894,877
"cyberage books",895,878
"cynthia fabian",896,879
"cynthia valero",897,880
"d appleton",898,881
"d douglas",899,882
"d m dewey",900,883
"d mckay co",901,884
"d philip",902,885
"d reidel",903,886
"d s brewer",904,887
"d s brewer for peterhouse cambridge",905,888
"d van nostrand",906,889
"da capo",907,890
"da capo life long",908,NA
"da capo life long a member of the perseus books group",909,892
"da capo life long;;da capo lifelong",NA,891
"da capo lifelong",910,NA
"da capo press",911,893
"dafina books",912,894
"dales",913,895
"dales large print",914,896
"dales large print books",915,897
"dalkey archive press",916,898
"dalmatian press",917,899
"dargaud",918,900
"dargaud pub international",919,901
"dark horse books",920,902
"darton longman and todd",921,903
"dave burgess consulting inc",922,904
"david c cook",923,905
"david fickling books",924,906
"david r godine",925,907
"david r godine publisher",926,908
"david smith llc",927,909
"david zwirner books",928,910
"daw books",929,911
"daw books inc",930,912
"dawnrigger publishing",931,913
"day books",932,914
"dc comics",933,915
"dc comics vertigo",934,916
"ddl books",935,917
"de gruyter",936,918
"de gruyter mouton",937,919
"de gruyter oldenbourg",938,920
"de gruyter saur",939,921
"de la presse cramoisy de j m shea",940,922
"decisionhealth",941,923
"dedalus press",942,924
"deep university press",943,925
"del rey",944,926
"del rey ballantine",945,927
"del rey ballantine books",946,928
"delacorte press",947,929
"delacorte press seymour lawrence",948,930
"delete press",949,931
"dell",950,932
"dell laurel leaf",951,933
"dell pub",952,NA
"dell pub co",953,935
"dell pub;;dell publishing",NA,934
"dell publishing",954,NA
"dell publishing co inc",955,936
"dell yearling",956,937
"delmar publishers",957,938
"delmonico books",958,939
"delmonico books prestel",959,940
"delta",960,941
"delta book",961,942
"delta books",962,943
"delta education",963,944
"dennis mcmillan",964,945
"department of public health and epidemiology university of birmingham",965,946
"derek bok center for teaching and learning harvard university",966,947
"derrydale books",967,948
"design studio press",968,949
"desperation press turnrow books",969,950
"destiny books",970,951
"destiny image publishers",971,952
"devorss",972,953
"devorss and company",973,954
"devotional life press",974,955
"dew bear enterprises",975,956
"dey st",976,957
"dial books for young readers",977,958
"dial press",978,959
"dial press trade paperbacks",979,960
"diane craver",980,961
"dianne harman",981,962
"digital legend",982,963
"digital legend press",983,964
"digital legend publishing",984,965
"director of national parks",985,966
"discovery house",986,967
"discovery house publishers",987,968
"disney book group",988,969
"disney hyperion books",989,970
"disney press",990,971
"diversion books",991,972
"diversion publishing corp",992,973
"dk",993,974
"dk penguin random house",994,975
"dk pub",995,NA
"dk pub;;dk publishing",NA,976
"dk publishing",996,NA
"dk publishing inc",997,977
"dobby",998,978
"dodd mead",999,979
"dodd mead and co",1000,NA
"dodd mead and co;;dodd mead and company",NA,980
"dodd mead and company",1001,NA
"dodge pub co",1002,981
"dog ear pubilshing",1003,982
"dog ear publishing",1004,983
"dollard publishing company inc",1005,984
"dolmen press",1006,985
"dolphin",1007,986
"donald i fine",1008,987
"dorchester pub",1009,988
"dorchester pub co",1010,NA
"dorchester pub co;;dorchester publishing co",NA,989
"dorchester publishing co",1011,NA
"dorcus smucker",1012,990
"dorling kindersley",1013,991
"dorling kindersley limited",1014,992
"dorrance publishing co inc",1015,993
"dorset press",1016,994
"dorsey press",1017,995
"dos madres press inc",1018,996
"dottir press",1019,997
"double r publishing",1020,998
"double take",1021,999
"doubleday",1022,1000
"doubleday ireland",1023,1001
"doubleday large print books",1024,1002
"douglas and mcintyre",1025,1003
"dover",1026,1004
"dover pub",1027,1005
"dover publications",1028,1006
"dover publications inc",1029,1007
"down and out books",1030,1008
"down east",1031,1009
"down east books",1032,1010
"downtown bookworks",1033,1011
"dr john douillard's lifespa",1034,1012
"dragonfly books",1035,1013
"drake publishers",1036,1014
"drama book publishers",1037,1015
"dramatists play service",1038,1016
"dramatists play service inc",1039,1017
"dreamspinner press",1040,1018
"drumcondra publications",1041,1019
"dublin city public libraries",1042,1020
"duckworth",1043,1021
"dukane press",1044,1022
"duke classics",1045,1023
"duke university press",1046,1024
"duncan baird",1047,1025
"dundurn",1048,1026
"dunedin",1049,1027
"dunwoody press",1050,1028
"duo press llc",1051,1029
"durandus",1052,1030
"dutton",1053,1031
"dutton children's books",1054,1032
"duxbury press",1055,1033
"dynamama",1056,1034
"dynamic learning",1057,1035
"dzanc books",1058,1036
"e and f n spon",1059,NA
"e and f n spon;;e and fn spon",NA,1037
"e and fn spon",1060,NA
"e arnold",1061,NA
"e arnold;;edward arnold",NA,1038
"e artnow ebooks",1062,1039
"e ditions dilecta",1063,1040
"e elgar",1064,NA
"e elgar;;edward elgar",NA,1041
"e flux",1065,1042
"e horwood",1066,1043
"e p dutton",1067,1044
"e reads",1068,1045
"e stanford",1069,1046
"e stock",1070,1047
"earthscan",1071,1048
"eberly press",1072,1049
"ebookslib",1073,1050
"ebury publishing",1074,1051
"ecco",1075,1052
"eckhartz press",1076,1053
"eclipse books",1077,1054
"ecpr press",1078,1055
"edc publishing",1079,1056
"eden project",1080,1057
"edgar elgar publishing",1081,1058
"edge books",1082,1059
"edicio nes certeza",1083,1060
"ediciones universal",1084,1061
"edinburgh university press",1085,1062
"editions a pedone",1086,1063
"editora ufsc",1087,1064
"editorial a contracorriente",1088,1065
"editorial pontificia universidad javeriana",1089,1066
"editorial vida",1090,1067
"edizioni press",1091,1068
"education next books hoover institution press stanford university",1092,1069
"educational communications inc",1093,1070
"educational design",1094,1071
"educational technology publications",1095,1072
"educators publishing service service",1096,1073
"edward arnold",1097,NA
"edward elgar",1098,NA
"edward elgar pub",1099,NA
"edward elgar pub;;edward elgar publishing",NA,1074
"edward elgar publishing",1100,NA
"edward elgar publishing limited",1101,NA
"edward elgar publishing limited;;edward elgar publishing ltd",NA,1075
"edward elgar publishing ltd",1102,NA
